trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
687,False,"{'a': 0.3, 'e': 0.031948941366546975}",20,5,27.788777368902867,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
688,False,"{'a': 0.3, 'e': 0.03178919665971424}",35,14,33.50723365089348,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
689,False,"{'a': 0.3, 'e': 0.03163025067641567}",25,20,8.096417810516002,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
690,False,"{'a': 0.3, 'e': 0.03147209942303359}",25,18,11.99627500653902,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
691,False,"{'a': 0.3, 'e': 0.03131473892591842}",25,17,15.36579531945997,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
692,False,"{'a': 0.3, 'e': 0.031158165231288826}",20,9,22.69886101982246,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
693,False,"{'a': 0.3, 'e': 0.03100237440513238}",20,11,18.062133691566522,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
694,False,"{'a': 0.3, 'e': 0.030847362533106718}",20,16,8.772385817691175,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
695,False,"{'a': 0.3, 'e': 0.030693125720441184}",35,21,20.419574505215287,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
696,False,"{'a': 0.3, 'e': 0.030539660091838977}",20,14,10.677980799628804,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
697,False,"{'a': 0.3, 'e': 0.03038696179137978}",30,16,24.045790994807135,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
698,False,"{'a': 0.3, 'e': 0.030235026982422884}",20,4,25.67133979541481,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
699,False,"{'a': 0.3, 'e': 0.030083851847510768}",20,10,19.63324697668852,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
700,False,"{'a': 0.3, 'e': 0.029933432588273214}",25,7,31.472701361465727,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
701,False,"{'a': 0.3, 'e': 0.029783765425331846}",20,15,8.469879111959392,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
702,False,"{'a': 0.3, 'e': 0.029634846598205186}",20,14,13.321691275456141,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
703,False,"{'a': 0.3, 'e': 0.02948667236521416}",20,6,26.504292153174916,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
704,False,"{'a': 0.3, 'e': 0.029339239003388088}",25,14,-23.153064087000473,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
705,False,"{'a': 0.3, 'e': 0.029192542808371146}",30,20,16.22313930280501,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
706,False,"{'a': 0.3, 'e': 0.02904658009432929}",20,7,23.90844818344753,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
707,False,"{'a': 0.3, 'e': 0.028901347193857643}",25,10,22.840977939599338,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
708,False,"{'a': 0.3, 'e': 0.028756840457888354}",30,19,21.95056271055724,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
709,False,"{'a': 0.3, 'e': 0.02861305625559891}",20,6,-12.306807557272204,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
710,False,"{'a': 0.3, 'e': 0.028469990974320916}",20,11,5.716601456219648,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
711,False,"{'a': 0.3, 'e': 0.02832764101944931}",20,13,12.178715021910175,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
712,False,"{'a': 0.3, 'e': 0.028186002814352063}",25,14,7.5323948941913,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
713,False,"{'a': 0.3, 'e': 0.0280450728002803}",25,3,38.27965984036378,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
714,False,"{'a': 0.3, 'e': 0.0279048474362789}",20,9,-24.943263713373614,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
715,False,"{'a': 0.3, 'e': 0.027765323199097504}",20,0,34.498778388139336,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
716,False,"{'a': 0.3, 'e': 0.027626496583102015}",20,15,9.830510837041906,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
717,False,"{'a': 0.3, 'e': 0.027488364100186506}",25,8,26.083336243018653,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
718,False,"{'a': 0.3, 'e': 0.027350922279685573}",20,16,5.7907708937690145,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
